scenario,time,visible_mempool_size,pending_transaction_count,confirmed_in_step,avg_confirmation_time_step,resource_cost,chain_length
low_load,0,0,3,0,,0.84,0
low_load,1,2,1,0,,0.15,0
low_load,2,3,0,0,,0.18,0
low_load,3,3,1,3,3.0,1.8,0
low_load,4,0,1,0,,0.03,1
low_load,5,1,1,0,,0.34,1
low_load,6,1,1,0,,0.09,1
low_load,7,2,3,0,,0.96,1
low_load,8,4,3,0,,0.83,1
low_load,9,6,2,6,2.8333333333333335,2.85,1
low_load,10,8,0,0,,0.48,1
low_load,11,2,1,0,,0.4,2
low_load,12,3,0,0,,0.18,2
low_load,13,3,2,0,,0.74,2
low_load,14,4,3,0,,0.83,2
low_load,15,6,2,0,,0.67,2
low_load,16,7,1,0,,0.45,2
low_load,17,8,2,0,,1.04,2
low_load,18,9,1,0,,0.57,2
low_load,19,10,2,10,5.9,4.46,2
low_load,20,10,2,0,,0.66,2
low_load,21,2,2,0,,0.68,3
low_load,22,3,3,0,,0.77,3
low_load,23,6,1,6,2.3333333333333335,2.82,3
low_load,24,6,1,0,,0.39,3
low_load,25,1,2,0,,0.62,4
low_load,26,3,1,0,,0.46,4
low_load,27,4,1,0,,0.52,4
low_load,28,5,3,0,,1.14,4
low_load,29,8,0,8,2.75,3.22,4
low_load,30,8,4,0,,1.6,4
low_load,31,0,4,0,,0.12,5
low_load,32,4,0,0,,0.24,5
low_load,33,4,0,0,,0.24,5
low_load,34,4,1,0,,0.52,5
low_load,35,5,0,0,,0.3,5
low_load,36,5,1,0,,0.58,5
low_load,37,6,2,6,5.333333333333333,3.1,5
low_load,38,7,1,0,,0.45,5
low_load,39,2,1,0,,0.4,6
low_load,40,2,2,0,,0.43,6
low_load,41,4,0,0,,0.24,6
low_load,42,4,2,0,,0.8,6
low_load,43,6,1,0,,0.64,6
low_load,44,7,0,7,4.0,2.88,6
low_load,45,0,0,0,,0.0,7
low_load,46,0,0,0,,0.0,7
low_load,47,0,1,0,,0.28,7
low_load,48,0,2,0,,0.31,7
low_load,49,1,2,0,,0.37,7
low_load,50,3,1,3,2.0,1.8,7
low_load,51,3,2,0,,0.49,7
low_load,52,1,3,0,,0.65,8
low_load,53,4,0,0,,0.24,8
low_load,54,4,0,0,,0.24,8
low_load,55,4,1,0,,0.52,8
low_load,56,5,1,0,,0.58,8
low_load,57,6,1,0,,0.64,8
low_load,58,6,2,0,,0.67,8
low_load,59,7,1,7,5.714285714285714,2.91,8
low_load,60,8,1,0,,0.76,8
low_load,61,2,0,0,,0.12,9
low_load,62,2,0,0,,0.12,9
low_load,63,2,0,0,,0.12,9
low_load,64,2,3,2,5.0,2.02,9
low_load,65,1,2,0,,0.12,10
low_load,66,3,0,0,,0.18,10
low_load,67,3,0,0,,0.18,10
low_load,68,3,2,0,,0.74,10
low_load,69,4,1,0,,0.27,10
low_load,70,5,1,0,,0.58,10
low_load,71,6,0,0,,0.36,10
low_load,72,6,0,6,5.666666666666667,2.54,10
low_load,73,6,0,0,,0.36,10
low_load,74,0,0,0,,0.0,11
low_load,75,0,1,0,,0.28,11
low_load,76,0,1,0,,0.03,11
low_load,77,1,0,0,,0.06,11
low_load,78,1,4,1,3.0,1.96,11
low_load,79,2,2,0,,0.18,12
low_load,80,4,2,0,,0.8,12
low_load,81,5,1,0,,0.33,12
low_load,82,6,1,0,,0.64,12
low_load,83,7,1,7,3.857142857142857,3.16,12
low_load,84,7,1,0,,0.45,12
low_load,85,1,0,0,,0.06,13
low_load,86,1,2,1,3.0,1.4,13
low_load,87,0,3,0,,0.34,14
low_load,88,2,3,0,,0.71,14
low_load,89,4,1,0,,0.27,14
low_load,90,5,1,0,,0.58,14
low_load,91,6,0,6,3.5,2.54,14
low_load,92,0,0,0,,0.0,15
low_load,93,0,1,0,,0.28,15
low_load,94,1,1,0,,0.34,15
low_load,95,2,0,0,,0.12,15
low_load,96,2,0,0,,0.12,15
low_load,97,2,2,0,,0.68,15
low_load,98,2,3,0,,0.46,15
low_load,99,5,1,0,,0.58,15
low_load,100,5,1,0,,0.33,15
low_load,101,6,1,6,4.666666666666667,2.82,15
low_load,102,0,3,0,,0.59,16
low_load,103,1,3,0,,0.4,16
low_load,104,4,4,0,,1.36,16
low_load,105,7,2,0,,0.73,16
low_load,106,8,5,0,,1.63,16
low_load,107,10,3,10,3.5,3.99,16
low_load,108,3,0,0,,0.18,17
low_load,109,3,1,0,,0.46,17
low_load,110,4,0,0,,0.24,17
low_load,111,4,2,0,,0.8,17
low_load,112,4,3,0,,0.58,17
low_load,113,7,1,0,,0.7,17
low_load,114,8,2,8,4.75,3.78,17
low_load,115,9,1,0,,0.57,17
low_load,116,2,0,0,,0.12,18
low_load,117,2,1,0,,0.4,18
low_load,118,3,4,0,,1.3,18
low_load,119,6,2,0,,0.67,18
low_load,120,7,2,0,,0.73,18
low_load,121,8,1,0,,0.51,18
low_load,122,9,1,0,,0.82,18
low_load,123,9,1,9,5.666666666666667,3.59,18
low_load,124,1,1,0,,0.34,19
low_load,125,2,1,0,,0.4,19
low_load,126,3,1,0,,0.46,19
low_load,127,3,3,0,,0.77,19
low_load,128,4,2,4,3.75,1.92,19
low_load,129,2,2,0,,0.68,20
low_load,130,3,3,0,,0.77,20
low_load,131,4,2,0,,0.3,20
low_load,132,6,1,0,,0.64,20
low_load,133,6,2,0,,0.67,20
low_load,134,7,4,0,,1.29,20
low_load,135,8,4,0,,0.85,20
low_load,136,11,1,0,,0.69,20
low_load,137,12,0,12,5.833333333333333,4.58,20
low_load,138,0,1,0,,0.28,21
low_load,139,0,1,0,,0.03,21
low_load,140,1,2,0,,0.62,21
low_load,141,3,0,0,,0.18,21
low_load,142,3,1,0,,0.46,21
low_load,143,4,2,0,,0.8,21
low_load,144,6,0,6,3.0,2.54,21
low_load,145,6,0,0,,0.36,21
low_load,146,0,0,0,,0.0,22
low_load,147,0,0,0,,0.0,22
low_load,148,0,0,0,,0.0,22
